nameWithOwner,url,stargazers,mentionableUsers,openIssues,commitsCount
vuejs/vue,https://github.com/vuejs/vue,203495,385,41,3547
microsoft/vscode,https://github.com/microsoft/vscode,145953,1846,1930,108519
angular/angular,https://github.com/angular/angular,88050,1728,46,27022
ant-design/ant-design,https://github.com/ant-design/ant-design,85779,1880,0,25062
puppeteer/puppeteer,https://github.com/puppeteer/puppeteer,83070,461,132,3494
storybookjs/storybook,https://github.com/storybookjs/storybook,78441,1712,1246,50287
gothinkster/realworld,https://github.com/gothinkster/realworld,74282,77,5,881
sveltejs/svelte,https://github.com/sveltejs/svelte,67501,593,81,7099
coder/code-server,https://github.com/coder/code-server,60261,202,94,3557
reduxjs/redux,https://github.com/reduxjs/redux,59559,952,1,3766
socketio/socket.io,https://github.com/socketio/socket.io,58194,214,12,1973
nestjs/nest,https://github.com/nestjs/nest,56455,382,0,13319
vitejs/vite,https://github.com/vitejs/vite,56010,776,28,5644
grafana/grafana,https://github.com/grafana/grafana,55263,2503,0,42692
apache/echarts,https://github.com/apache/echarts,55101,216,1182,9067
apache/superset,https://github.com/apache/superset,51852,951,0,13370
hoppscotch/hoppscotch,https://github.com/hoppscotch/hoppscotch,51334,201,28,4779
microsoft/playwright,https://github.com/microsoft/playwright,50383,10000,0,10508
remix-run/react-router,https://github.com/remix-run/react-router,50266,878,24,6071
supabase/supabase,https://github.com/supabase/supabase,49750,729,144,19194
excalidraw/excalidraw,https://github.com/excalidraw/excalidraw,47804,237,111,3067
facebook/docusaurus,https://github.com/facebook/docusaurus,44450,1134,90,5573
DefinitelyTyped/DefinitelyTyped,https://github.com/DefinitelyTyped/DefinitelyTyped,43925,9975,0,83903
babel/babel,https://github.com/babel/babel,42222,1067,0,15761
jestjs/jest,https://github.com/jestjs/jest,41940,1464,0,6809
vercel/hyper,https://github.com/vercel/hyper,40854,449,0,3522
pixijs/pixijs,https://github.com/pixijs/pixijs,39861,435,0,6473
styled-components/styled-components,https://github.com/styled-components/styled-components,38779,343,0,3473
vuejs/core,https://github.com/vuejs/core,37364,408,0,4917
vuetifyjs/vuetify,https://github.com/vuetifyjs/vuetify,37103,815,0,14120
streamich/react-use,https://github.com/streamich/react-use,36654,171,12,2947
nocodb/nocodb,https://github.com/nocodb/nocodb,35821,140,0,14192
RocketChat/Rocket.Chat,https://github.com/RocketChat/Rocket.Chat,35464,858,283,23478
react-hook-form/react-hook-form,https://github.com/react-hook-form/react-hook-form,34713,259,0,3453
lerna/lerna,https://github.com/lerna/lerna,34536,311,58,2569
TanStack/query,https://github.com/TanStack/query,34429,602,5,2022
ant-design/ant-design-pro,https://github.com/ant-design/ant-design-pro,34171,328,0,2471
nativefier/nativefier,https://github.com/nativefier/nativefier,33534,136,103,1278
NervJS/taro,https://github.com/NervJS/taro,32869,504,8,9859
chakra-ui/chakra-ui,https://github.com/chakra-ui/chakra-ui,32598,584,0,8906
immutable-js/immutable-js,https://github.com/immutable-js/immutable-js,32570,212,5,1718
date-fns/date-fns,https://github.com/date-fns/date-fns,31500,373,0,1931
prisma/prisma,https://github.com/prisma/prisma,31219,223,0,9222
typeorm/typeorm,https://github.com/typeorm/typeorm,31168,976,1115,5256
appwrite/appwrite,https://github.com/appwrite/appwrite,31075,294,125,15011
pmndrs/zustand,https://github.com/pmndrs/zustand,30575,198,1,888
withastro/astro,https://github.com/withastro/astro,30175,507,0,5438
n8n-io/n8n,https://github.com/n8n-io/n8n,30089,332,0,8594
ReactiveX/rxjs,https://github.com/ReactiveX/rxjs,28842,544,16,5265
niklasvh/html2canvas,https://github.com/niklasvh/html2canvas,28159,50,35,1066
solidjs/solid,https://github.com/solidjs/solid,27496,140,4,1605
postcss/postcss,https://github.com/postcss/postcss,27458,374,1,3880
ianstormtaylor/slate,https://github.com/ianstormtaylor/slate,26995,538,283,4056
lyswhut/lx-music-desktop,https://github.com/lyswhut/lx-music-desktop,26836,7,7,1944
vercel/swr,https://github.com/vercel/swr,26649,475,8,774
slidevjs/slidev,https://github.com/slidevjs/slidev,26526,118,0,1378
mobxjs/mobx,https://github.com/mobxjs/mobx,26427,309,0,3211
cheeriojs/cheerio,https://github.com/cheeriojs/cheerio,26333,130,0,2536
JedWatson/react-select,https://github.com/JedWatson/react-select,26094,423,0,4220
angular/angular-cli,https://github.com/angular/angular-cli,26071,599,0,10446
pmndrs/react-spring,https://github.com/pmndrs/react-spring,25631,185,0,3476
balena-io/etcher,https://github.com/balena-io/etcher,25489,85,0,3330
trpc/trpc,https://github.com/trpc/trpc,25369,277,0,3080
mattermost/mattermost-server,https://github.com/mattermost/mattermost-server,25344,766,0,16785
floating-ui/floating-ui,https://github.com/floating-ui/floating-ui,25333,75,1,1808
AykutSarac/jsoncrack.com,https://github.com/AykutSarac/jsoncrack.com,23942,22,15,1049
Yidadaa/ChatGPT-Next-Web,https://github.com/Yidadaa/ChatGPT-Next-Web,23814,63,0,673
statelyai/xstate,https://github.com/statelyai/xstate,23703,313,37,5241
react-native-elements/react-native-elements,https://github.com/react-native-elements/react-native-elements,23616,379,0,2389
vuejs/devtools,https://github.com/vuejs/devtools,23606,174,21,2082
pnpm/pnpm,https://github.com/pnpm/pnpm,23585,205,618,8280
angular/components,https://github.com/angular/components,23490,699,0,10700
remix-run/remix,https://github.com/remix-run/remix,23354,948,34,3991
doczjs/docz,https://github.com/doczjs/docz,23261,135,3,1609
discordjs/discord.js,https://github.com/discordjs/discord.js,23057,459,49,7528
reduxjs/react-redux,https://github.com/reduxjs/react-redux,22778,279,0,1139
codex-team/editor.js,https://github.com/codex-team/editor.js,22768,64,159,704
neoclide/coc.nvim,https://github.com/neoclide/coc.nvim,22735,234,4,5640
vadimdemedes/ink,https://github.com/vadimdemedes/ink,22491,99,5,549
pmndrs/react-three-fiber,https://github.com/pmndrs/react-three-fiber,22449,204,18,2399
react-navigation/react-navigation,https://github.com/react-navigation/react-navigation,22405,185,588,2627
t4t5/sweetalert,https://github.com/t4t5/sweetalert,22244,62,3,363
marmelab/react-admin,https://github.com/marmelab/react-admin,22075,549,44,16475
conwnet/github1s,https://github.com/conwnet/github1s,21929,43,0,351
withfig/autocomplete,https://github.com/withfig/autocomplete,21924,389,11,4267
homebridge/homebridge,https://github.com/homebridge/homebridge,21889,108,9,1455
colinhacks/zod,https://github.com/colinhacks/zod,21842,223,0,1828
backstage/backstage,https://github.com/backstage/backstage,21786,1091,115,40368
felixrieseberg/windows95,https://github.com/felixrieseberg/windows95,21780,16,0,197
react-bootstrap/react-bootstrap,https://github.com/react-bootstrap/react-bootstrap,21697,469,20,4457
directus/directus,https://github.com/directus/directus,21485,303,94,10285
reworkd/AgentGPT,https://github.com/reworkd/AgentGPT,21451,36,17,573
TanStack/table,https://github.com/TanStack/table,21404,365,0,2155
youzan/vant,https://github.com/youzan/vant,21284,287,0,9498
electron-react-boilerplate/electron-react-boilerplate,https://github.com/electron-react-boilerplate/electron-react-boilerplate,21268,158,19,1110
refined-github/refined-github,https://github.com/refined-github/refined-github,21049,294,49,3436
lensapp/lens,https://github.com/lensapp/lens,20992,108,417,3913
jhipster/generator-jhipster,https://github.com/jhipster/generator-jhipster,20562,687,0,45071
BabylonJS/Babylon.js,https://github.com/BabylonJS/Babylon.js,20539,475,0,39911
Molunerfinn/PicGo,https://github.com/Molunerfinn/PicGo,20502,15,8,501
tailwindlabs/headlessui,https://github.com/tailwindlabs/headlessui,20451,77,0,595
novuhq/novu,https://github.com/novuhq/novu,20446,276,8,10928
jquense/yup,https://github.com/jquense/yup,20326,154,6,751
recharts/recharts,https://github.com/recharts/recharts,20241,249,64,2247
oldj/SwitchHosts,https://github.com/oldj/SwitchHosts,20162,35,0,1316
Redocly/redoc,https://github.com/Redocly/redoc,20105,239,56,2520
lensterxyz/lenster,https://github.com/lensterxyz/lenster,20039,75,19,5884
palantir/blueprint,https://github.com/palantir/blueprint,19805,379,188,2910
calcom/cal.com,https://github.com/calcom/cal.com,19520,260,0,5595
graphql/graphql-js,https://github.com/graphql/graphql-js,19507,200,10,3355
railsware/upterm,https://github.com/railsware/upterm,19337,107,0,2998
